state,county,2010_population,2015_population,,FIPS
Arkansas,Benton,221339,251591,BentonArkansas,5007
Indiana,Benton,8854,8693,BentonIndiana,18007
Iowa,Benton,26076,25608,BentonIowa,19011
Minnesota,Benton,38451,39422,BentonMinnesota,27009
Mississippi,Benton,8729,8155,BentonMississippi,28009
Missouri,Benton,19056,18791,BentonMissouri,29015
Oregon,Benton,85579,88333,BentonOregon,41003
Tennessee,Benton,16489,16220,BentonTennessee,47005
Washington,Benton,175177,190218,BentonWashington,53005
Michigan,Benzie,17525,17390,BenzieMichigan,26019
New Jersey,Bergen,905116,926391,BergenNew Jersey,34003
South Carolina,Berkeley,177843,203066,BerkeleySouth Carolina,45015
West Virginia,Berkeley,104169,111678,BerkeleyWest Virginia,54003
Pennsylvania,Berks,411442,415138,BerksPennsylvania,42011
Massachusetts,Berkshire,131219,127858,BerkshireMassachusetts,25003
New Mexico,Bernalillo,662564,676248,BernalilloNew Mexico,35001
Georgia,Berrien,19286,18991,BerrienGeorgia,13019
Michigan,Berrien,156813,155022,BerrienMichigan,26021
North Carolina,Bertie,21282,20162,BertieNorth Carolina,37015
Alaska,Bethel,17013,17955,BethelAlaska,2050
Texas,Bexar,1714773,1894834,BexarTexas,48029
Alabama,Bibb,22915,22566,BibbAlabama,1007
Georgia,Bibb,155547,153945,BibbGeorgia,13021
Louisiana,Bienville,14353,13823,BienvilleLouisiana,22013
Montana,BigHorn,12865,13312,BigHornMontana,30003
Wyoming,BigHorn,11668,11945,BigHornWyoming,56003
Minnesota,BigStone,5269,4993,BigStoneMinnesota,27011
North Dakota,Billings,783,948,BillingsNorth Dakota,38007
Idaho,Bingham,45607,45057,BinghamIdaho,16011
Iowa,BlackHawk,131090,133701,BlackHawkIowa,19013
Indiana,Blackford,12766,12242,BlackfordIndiana,18009
North Carolina,Bladen,35190,34083,BladenNorth Carolina,37017
Idaho,Blaine,21376,21636,BlaineIdaho,16013
Montana,Blaine,6491,6680,BlaineMontana,30005
Nebraska,Blaine,478,477,BlaineNebraska,31009
Oklahoma,Blaine,11943,9762,BlaineOklahoma,40011
Pennsylvania,Blair,127089,124596,BlairPennsylvania,42013
Texas,Blanco,10497,11029,BlancoTexas,48031
Virginia,Bland,6824,6532,BlandVirginia,51021
Georgia,Bleckley,13063,12714,BleckleyGeorgia,13023
Tennessee,Bledsoe,12876,14601,BledsoeTennessee,47007
Alabama,Blount,57322,57526,BlountAlabama,1009
Tennessee,Blount,123010,126954,BlountTennessee,47009
Minnesota,BlueEarth,64013,65673,BlueEarthMinnesota,27013
Idaho,Boise,7028,6963,BoiseIdaho,16015
Mississippi,Bolivar,34145,33230,BolivarMississippi,28011
Missouri,Bollinger,12363,12316,BollingerMissouri,29017
South Dakota,BonHomme,7070,6943,BonHommeSouth Dakota,46009
Illinois,Bond,17768,16686,BondIllinois,17005
Idaho,Bonner,40877,41600,BonnerIdaho,16017
Idaho,Bonneville,104234,109849,BonnevilleIdaho,16019
Arkansas,Boone,36903,37119,BooneArkansas,5009
Illinois,Boone,54165,53579,BooneIllinois,17007
Indiana,Boone,56640,63033,BooneIndiana,18011
Iowa,Boone,26306,26443,BooneIowa,19015
Kentucky,Boone,118811,128161,BooneKentucky,21015
Missouri,Boone,162642,174404,BooneMissouri,29019
Nebraska,Boone,5505,5310,BooneNebraska,31011
West Virginia,Boone,24629,23252,BooneWest Virginia,54005
Texas,Borden,641,655,BordenTexas,48033
Texas,Bosque,18212,17864,BosqueTexas,48035
Louisiana,Bossier,116979,125554,BossierLouisiana,22015
Virginia,Botetourt,33148,33380,BotetourtVirginia,51023
North Dakota,Bottineau,6429,6734,BottineauNorth Dakota,38009
Colorado,Boulder,294567,318027,BoulderColorado,8013
Idaho,Boundary,10972,11299,BoundaryIdaho,16021
Kansas,Bourbon,15173,14733,BourbonKansas,20011
Kentucky,Bourbon,19985,20166,BourbonKentucky,21017
Texas,Bowie,92565,93050,BowieTexas,48037
North Dakota,Bowman,3151,3277,BowmanNorth Dakota,38011
Nebraska,BoxButte,11308,11325,BoxButteNebraska,31013
Utah,BoxElder,49975,51826,BoxElderUtah,49003
Kentucky,Boyd,49542,48471,BoydKentucky,21019
Nebraska,Boyd,2099,2002,BoydNebraska,31015
Kentucky,Boyle,28432,29782,BoyleKentucky,21021
Kentucky,Bracken,8488,8290,BrackenKentucky,21023
Florida,Bradford,28520,26748,BradfordFlorida,12007
Pennsylvania,Bradford,62622,61644,BradfordPennsylvania,42015
Arkansas,Bradley,11508,10999,BradleyArkansas,5011
Tennessee,Bradley,98963,103774,BradleyTennessee,47011
Michigan,Branch,45248,43639,BranchMichigan,26023
Georgia,Brantley,18411,18437,BrantleyGeorgia,13025
West Virginia,Braxton,14523,14375,BraxtonWest Virginia,54007
Texas,Brazoria,313166,345227,BrazoriaTexas,48039
Texas,Brazos,194851,216258,BrazosTexas,48041
Kentucky,Breathitt,13878,13363,BreathittKentucky,21025
Kentucky,Breckinridge,20059,19979,BreckinridgeKentucky,21027
Iowa,Bremer,24276,24746,BremerIowa,19017
Florida,Brevard,543376,565746,BrevardFlorida,12009
Texas,Brewster,9232,9143,BrewsterTexas,48043
Texas,Briscoe,1637,1514,BriscoeTexas,48045
Alaska,BristolBay,997,904,BristolBayAlaska,2060
Virginia,BristolCity,17835,17146,BristolCityVirginia,51520
Massachusetts,Bristol,548285,556863,BristolMassachusetts,25005
Rhode Island,Bristol,49875,49127,BristolRhode Island,44001
Montana,Broadwater,5612,5714,BroadwaterMontana,30007
New York,Bronx,1385108,1440005,BronxNew York,36005
West Virginia,Brooke,24069,23190,BrookeWest Virginia,54009
South Dakota,Brookings,31965,33800,BrookingsSouth Dakota,46011
Georgia,Brooks,16243,15670,BrooksGeorgia,13027
Texas,Brooks,7223,7190,BrooksTexas,48047
New York,Broome,200600,195928,BroomeNew York,36007
Colorado,Broomfield,55889,64866,BroomfieldColorado,8014
Florida,Broward,1748066,1885040,BrowardFlorida,12011
Illinois,Brown,6937,6753,BrownIllinois,17009
Indiana,Brown,15242,14994,BrownIndiana,18013
Kansas,Brown,9984,9708,BrownKansas,20013
Minnesota,Brown,25893,25240,BrownMinnesota,27015
Nebraska,Brown,3145,2982,BrownNebraska,31017
Ohio,Brown,44846,43697,BrownOhio,39015
South Dakota,Brown,36531,38400,BrownSouth Dakota,46013
Texas,Brown,38106,37736,BrownTexas,48049
Wisconsin,Brown,248007,257856,BrownWisconsin,55009
South Dakota,Brule,5255,5243,BruleSouth Dakota,46015
