state,county,2010_population,2015_population,,FIPS
Kansas,Franklin,25992,25469,FranklinKansas,20059
Kentucky,Franklin,49285,50070,FranklinKentucky,21073
Louisiana,Franklin,20767,20386,FranklinLouisiana,22041
Maine,Franklin,30768,30017,FranklinMaine,23007
Massachusetts,Franklin,71372,70866,FranklinMassachusetts,25011
Mississippi,Franklin,8118,7729,FranklinMississippi,28037
Missouri,Franklin,101492,102251,FranklinMissouri,29071
Nebraska,Franklin,3225,2977,FranklinNebraska,31061
New York,Franklin,51599,50540,FranklinNew York,36033
North Carolina,Franklin,60619,63668,FranklinNorth Carolina,37069
Ohio,Franklin,1163414,1257386,FranklinOhio,39049
Pennsylvania,Franklin,149618,153048,FranklinPennsylvania,42055
Tennessee,Franklin,41052,41343,FranklinTennessee,47051
Texas,Franklin,10605,10603,FranklinTexas,48159
Vermont,Franklin,47746,48988,FranklinVermont,50011
Virginia,Franklin,56159,56227,FranklinVirginia,51067
Washington,Franklin,78163,88727,FranklinWashington,53021
Maryland,Frederick,233385,245001,FrederickMaryland,24021
Virginia,Frederick,78305,83493,FrederickVirginia,51069
Virginia,FredericksburgCity,24286,28043,FredericksburgCityVirginia,51630
Minnesota,Freeborn,31255,30522,FreebornMinnesota,27047
Texas,Freestone,19816,19746,FreestoneTexas,48161
Colorado,Fremont,46824,46282,FremontColorado,8043
Idaho,Fremont,13242,12812,FremontIdaho,16043
Iowa,Fremont,7441,6912,FremontIowa,19071
Wyoming,Fremont,40123,40219,FremontWyoming,56013
California,Fresno,930450,969488,FresnoCalifornia,6019
Texas,Frio,17217,19361,FrioTexas,48163
Nebraska,Frontier,2756,2631,FrontierNebraska,31063
Arkansas,Fulton,12245,12138,FultonArkansas,5049
Georgia,Fulton,920581,1005127,FultonGeorgia,13121
Illinois,Fulton,37069,35713,FultonIllinois,17057
Indiana,Fulton,20836,20340,FultonIndiana,18049
Kentucky,Fulton,6813,6266,FultonKentucky,21075
New York,Fulton,55531,53801,FultonNew York,36035
Ohio,Fulton,42698,42301,FultonOhio,39051
Pennsylvania,Fulton,14845,14509,FultonPennsylvania,42057
Nebraska,Furnas,4959,4831,FurnasNebraska,31065
Florida,Gadsden,46389,46060,GadsdenFlorida,12039
Nebraska,Gage,22311,21715,GageNebraska,31067
Texas,Gaines,17526,20217,GainesTexas,48165
Virginia,GalaxCity,7042,6800,GalaxCityVirginia,51640
Illinois,Gallatin,5589,5221,GallatinIllinois,17059
Kentucky,Gallatin,8589,8613,GallatinKentucky,21077
Montana,Gallatin,89513,100882,GallatinMontana,30031
Ohio,Gallia,30934,30249,GalliaOhio,39053
Texas,Galveston,291309,320974,GalvestonTexas,48167
Nebraska,Garden,2057,1916,GardenNebraska,31069
Colorado,Garfield,56389,57698,GarfieldColorado,8045
Montana,Garfield,1206,1284,GarfieldMontana,30033
Nebraska,Garfield,2049,2014,GarfieldNebraska,31071
Oklahoma,Garfield,60580,63248,GarfieldOklahoma,40047
Utah,Garfield,5172,4962,GarfieldUtah,49017
Washington,Garfield,2266,2222,GarfieldWashington,53023
Arkansas,Garland,96024,97814,GarlandArkansas,5051
Kentucky,Garrard,16912,17207,GarrardKentucky,21079
Maryland,Garrett,30097,29426,GarrettMaryland,24023
Oklahoma,Garvin,27576,27920,GarvinOklahoma,40049
Texas,Garza,6461,6391,GarzaTexas,48169
Missouri,Gasconade,15222,14742,GasconadeMissouri,29073
North Carolina,Gaston,206086,212919,GastonNorth Carolina,37071
North Carolina,Gates,12197,11531,GatesNorth Carolina,37073
Kansas,Geary,34362,36681,GearyKansas,20061
Ohio,Geauga,93389,93894,GeaugaOhio,39055
Idaho,Gem,16719,16685,GemIdaho,16045
Michigan,Genesee,425790,410461,GeneseeMichigan,26049
New York,Genesee,60079,58462,GeneseeNew York,36037
Alabama,Geneva,26790,26631,GenevaAlabama,1061
Missouri,Gentry,6738,6654,GentryMissouri,29075
Mississippi,George,22578,23378,GeorgeMississippi,28039
South Carolina,Georgetown,60158,61456,GeorgetownSouth Carolina,45043
Indiana,Gibson,33503,33644,GibsonIndiana,18051
Tennessee,Gibson,49683,49329,GibsonTennessee,47053
Arizona,Gila,53597,52978,GilaArizona,4007
Florida,Gilchrist,16939,17378,GilchristFlorida,12041
Tennessee,Giles,29485,28973,GilesTennessee,47055
Virginia,Giles,17286,16762,GilesVirginia,51071
Texas,Gillespie,24837,25916,GillespieTexas,48171
Oregon,Gilliam,1871,1868,GilliamOregon,41021
Georgia,Gilmer,28292,29514,GilmerGeorgia,13123
West Virginia,Gilmer,8693,8306,GilmerWest Virginia,54021
Colorado,Gilpin,5441,5805,GilpinColorado,8047
Montana,Glacier,13399,13636,GlacierMontana,30035
Florida,Glades,12884,13099,GladesFlorida,12043
Michigan,Gladwin,25692,25227,GladwinMichigan,26051
Georgia,Glascock,3082,3020,GlascockGeorgia,13125
Texas,Glasscock,1226,1380,GlasscockTexas,48173
California,Glenn,28122,27753,GlennCalifornia,6021
New Jersey,Gloucester,288288,290943,GloucesterNew Jersey,34015
Virginia,Gloucester,36858,37010,GloucesterVirginia,51073
Georgia,Glynn,79626,83311,GlynnGeorgia,13127
Michigan,Gogebic,16427,15536,GogebicMichigan,26053
Montana,GoldenValley,884,818,GoldenValleyMontana,30037
North Dakota,GoldenValley,1680,1879,GoldenValleyNorth Dakota,38033
Texas,Goliad,7210,7513,GoliadTexas,48175
Texas,Gonzales,19807,20510,GonzalesTexas,48177
Virginia,Goochland,21717,22165,GoochlandVirginia,51075
Minnesota,Goodhue,46183,46060,GoodhueMinnesota,27049
Idaho,Gooding,15464,15188,GoodingIdaho,16047
Georgia,Gordon,55186,56324,GordonGeorgia,13129
Wyoming,Goshen,13249,13542,GoshenWyoming,56015
Nebraska,Gosper,2044,2025,GosperNebraska,31073
Kansas,Gove,2695,2698,GoveKansas,20063
Georgia,Grady,25011,25089,GradyGeorgia,13131
Oklahoma,Grady,52431,54559,GradyOklahoma,40051
New Hampshire,Grafton,89118,89439,GraftonNew Hampshire,33009
Arizona,Graham,37220,37860,GrahamArizona,4009
Kansas,Graham,2597,2591,GrahamKansas,20065
North Carolina,Graham,8861,8588,GrahamNorth Carolina,37075
Tennessee,Grainger,22657,22848,GraingerTennessee,47057
Colorado,Grand,14843,14726,GrandColorado,8049
North Dakota,GrandForks,66861,70352,GrandForksNorth Dakota,38035
Vermont,GrandIsle,6970,6871,GrandIsleVermont,50013
Michigan,GrandTraverse,86986,91541,GrandTraverseMichigan,26055
Utah,Grand,9225,9551,GrandUtah,49019
Montana,Granite,3079,3163,GraniteMontana,30039
Arkansas,Grant,17853,18016,GrantArkansas,5053
Indiana,Grant,70061,67479,GrantIndiana,18053
Kansas,Grant,7829,7724,GrantKansas,20067
Kentucky,Grant,24662,24736,GrantKentucky,21081
Louisiana,Grant,22309,22302,GrantLouisiana,22043
Minnesota,Grant,6018,5867,GrantMinnesota,27051
Nebraska,Grant,614,646,GrantNebraska,31075
New Mexico,Grant,29514,28364,GrantNew Mexico,35017
North Dakota,Grant,2394,2396,GrantNorth Dakota,38037
Oklahoma,Grant,4527,4500,GrantOklahoma,40053
Oregon,Grant,7445,7207,GrantOregon,41023
South Dakota,Grant,7356,7218,GrantSouth Dakota,46051
Washington,Grant,89120,93527,GrantWashington,53025
West Virginia,Grant,11937,11651,GrantWest Virginia,54023
Wisconsin,Grant,51208,52071,GrantWisconsin,55043
North Carolina,Granville,59916,58162,GranvilleNorth Carolina,37077
Michigan,Gratiot,42476,41331,GratiotMichigan,26057
Kentucky,Graves,37121,37248,GravesKentucky,21083
Kansas,Gray,6006,6082,GrayKansas,20069
Texas,Gray,22535,23265,GrayTexas,48179
Washington,GraysHarbor,72797,71011,GraysHarborWashington,53027
Kentucky,Grayson,25746,26138,GraysonKentucky,21085
Texas,Grayson,120877,125628,GraysonTexas,48181
Virginia,Grayson,15533,15959,GraysonVirginia,51077
Kansas,Greeley,1247,1302,GreeleyKansas,20071
Nebraska,Greeley,2538,2435,GreeleyNebraska,31077
Kentucky,Green,11258,10951,GreenKentucky,21087
Wisconsin,GreenLake,19051,18698,GreenLakeWisconsin,55047
Wisconsin,Green,36842,36931,GreenWisconsin,55045
West Virginia,Greenbrier,35480,35580,GreenbrierWest Virginia,54025
Alabama,Greene,9045,8508,GreeneAlabama,1063
Arkansas,Greene,42090,44300,GreeneArkansas,5055
Georgia,Greene,15994,16617,GreeneGeorgia,13133
Illinois,Greene,13886,13345,GreeneIllinois,17061
Indiana,Greene,33165,32416,GreeneIndiana,18055
Iowa,Greene,9336,8944,GreeneIowa,19073
Mississippi,Greene,14400,13549,GreeneMississippi,28041
Missouri,Greene,275174,287312,GreeneMissouri,29077
New York,Greene,49221,47616,GreeneNew York,36039
North Carolina,Greene,21362,20950,GreeneNorth Carolina,37079
Ohio,Greene,161573,164272,GreeneOhio,39057
Pennsylvania,Greene,38686,37402,GreenePennsylvania,42059
Tennessee,Greene,68831,68586,GreeneTennessee,47059
Virginia,Greene,18403,19183,GreeneVirginia,51079
Arizona,Greenlee,8437,9577,GreenleeArizona,4011
Virginia,Greensville,12243,11786,GreensvilleVirginia,51081
Kentucky,Greenup,36910,36006,GreenupKentucky,21089
South Carolina,Greenville,451225,490900,GreenvilleSouth Carolina,45045
Kansas,Greenwood,6689,6233,GreenwoodKansas,20073
South Carolina,Greenwood,69661,69962,GreenwoodSouth Carolina,45047
Oklahoma,Greer,6239,6031,GreerOklahoma,40055
Texas,Gregg,121730,123800,GreggTexas,48183
South Dakota,Gregory,4271,4192,GregorySouth Dakota,46053
Mississippi,Grenada,21906,21444,GrenadaMississippi,28043
North Dakota,Griggs,2420,2288,GriggsNorth Dakota,38039
Texas,Grimes,26604,27299,GrimesTexas,48185
Illinois,Grundy,50063,50363,GrundyIllinois,17063
Iowa,Grundy,12453,12405,GrundyIowa,19075
Missouri,Grundy,10261,10031,GrundyMissouri,29079
Tennessee,Grundy,13703,13337,GrundyTennessee,47061
New Mexico,Guadalupe,4687,4350,GuadalupeNew Mexico,35019
Texas,Guadalupe,131533,150578,GuadalupeTexas,48187
Ohio,Guernsey,40087,39392,GuernseyOhio,39059
North Carolina,Guilford,488406,517053,GuilfordNorth Carolina,37081
Florida,Gulf,15863,15929,GulfFlorida,12045
Colorado,Gunnison,15324,16104,GunnisonColorado,8051
Iowa,Guthrie,10954,10649,GuthrieIowa,19077
Georgia,Gwinnett,805321,888494,GwinnettGeorgia,13135
South Dakota,Haakon,1937,1850,HaakonSouth Dakota,46055
Georgia,Habersham,43041,43792,HabershamGeorgia,13137
Alaska,Haines,2508,2516,HainesAlaska,2100
Alabama,Hale,15760,15015,HaleAlabama,1065
Texas,Hale,36273,34034,HaleTexas,48189
North Carolina,Halifax,54691,52182,HalifaxNorth Carolina,37083
Virginia,Halifax,36241,35103,HalifaxVirginia,51083
Georgia,Hall,179684,192245,HallGeorgia,13139
Nebraska,Hall,58607,61132,HallNebraska,31079
Texas,Hall,3353,3094,HallTexas,48191
Tennessee,Hamblen,62544,63353,HamblenTennessee,47063
Florida,Hamilton,14799,14272,HamiltonFlorida,12047
Illinois,Hamilton,8457,8248,HamiltonIllinois,17065
Indiana,Hamilton,274569,308428,HamiltonIndiana,18057
Iowa,Hamilton,15673,15218,HamiltonIowa,19079
Kansas,Hamilton,2690,2568,HamiltonKansas,20075
Nebraska,Hamilton,9124,9141,HamiltonNebraska,31081
New York,Hamilton,4836,4699,HamiltonNew York,36041
Ohio,Hamilton,802374,809527,HamiltonOhio,39061
Tennessee,Hamilton,336463,353690,HamiltonTennessee,47065
Texas,Hamilton,8517,8080,HamiltonTexas,48193
South Dakota,Hamlin,5903,5976,HamlinSouth Dakota,46057
Massachusetts,Hampden,463490,469113,HampdenMassachusetts,25013
Massachusetts,Hampshire,158080,160709,HampshireMassachusetts,25015
West Virginia,Hampshire,23964,23311,HampshireWest Virginia,54027
Virginia,HamptonCity,137436,136264,HamptonCityVirginia,51650
South Carolina,Hampton,21090,19963,HamptonSouth Carolina,45049
Georgia,Hancock,9429,8578,HancockGeorgia,13141
Illinois,Hancock,19104,18216,HancockIllinois,17067
Indiana,Hancock,70002,72413,HancockIndiana,18059
Iowa,Hancock,11341,11028,HancockIowa,19081
Kentucky,Hancock,8565,8641,HancockKentucky,21091
Maine,Hancock,54418,54237,HancockMaine,23009
Mississippi,Hancock,43929,46305,HancockMississippi,28045
Ohio,Hancock,74782,75678,HancockOhio,39063
Tennessee,Hancock,6819,6577,HancockTennessee,47067
West Virginia,Hancock,30676,29980,HancockWest Virginia,54029
South Dakota,Hand,3431,3306,HandSouth Dakota,46059
Virginia,Hanover,99863,103071,HanoverVirginia,51085
Texas,Hansford,5613,5654,HansfordTexas,48195
South Dakota,Hanson,3331,3387,HansonSouth Dakota,46061
Georgia,Haralson,28780,28702,HaralsonGeorgia,13143
Florida,Hardee,27731,27177,HardeeFlorida,12049
Tennessee,Hardeman,27253,25817,HardemanTennessee,47069
Texas,Hardeman,4139,3920,HardemanTexas,48197
Illinois,Hardin,4320,4067,HardinIllinois,17069
Iowa,Hardin,17534,17253,HardinIowa,19083
Kentucky,Hardin,105543,106272,HardinKentucky,21093
Ohio,Hardin,32058,31616,HardinOhio,39065
Tennessee,Hardin,26026,25754,HardinTennessee,47071
Texas,Hardin,54635,55758,HardinTexas,48199
New Mexico,Harding,695,719,HardingNew Mexico,35021
South Dakota,Harding,1255,1270,HardingSouth Dakota,46063
West Virginia,Hardy,14025,13826,HardyWest Virginia,54031
Maryland,Harford,244826,249558,HarfordMaryland,24025
Kentucky,Harlan,29278,27506,HarlanKentucky,21095
Nebraska,Harlan,3423,3441,HarlanNebraska,31083
Oklahoma,Harmon,2922,2782,HarmonOklahoma,40057
North Carolina,Harnett,114678,128034,HarnettNorth Carolina,37085
Oregon,Harney,7422,7150,HarneyOregon,41025
Kansas,Harper,6034,5781,HarperKansas,20077
Oklahoma,Harper,3685,3826,HarperOklahoma,40059
Georgia,Harris,32024,33155,HarrisGeorgia,13145
Texas,Harris,4092459,4557846,HarrisTexas,48201
Indiana,Harrison,39364,39532,HarrisonIndiana,18061
Iowa,Harrison,14928,14139,HarrisonIowa,19085
Kentucky,Harrison,18846,18641,HarrisonKentucky,21097
Mississippi,Harrison,187105,200674,HarrisonMississippi,28047
Missouri,Harrison,8957,8622,HarrisonMissouri,29081
Ohio,Harrison,15864,15395,HarrisonOhio,39067
Texas,Harrison,65631,66685,HarrisonTexas,48203
West Virginia,Harrison,69099,68535,HarrisonWest Virginia,54033
Virginia,HarrisonburgCity,48914,52675,HarrisonburgCityVirginia,51660
Georgia,Hart,25213,25410,HartGeorgia,13147
Kentucky,Hart,18199,18421,HartKentucky,21099
Connecticut,Hartford,894014,896290,HartfordConnecticut,9003
Texas,Hartley,6062,5702,HartleyTexas,48205
Kansas,Harvey,34684,34802,HarveyKansas,20079
Kansas,Haskell,4256,4089,HaskellKansas,20081
Oklahoma,Haskell,12769,12750,HaskellOklahoma,40061
Texas,Haskell,5899,5821,HaskellTexas,48207
Hawaii,Hawaii,185079,195975,HawaiiHawaii,15001
Tennessee,Hawkins,56833,56370,HawkinsTennessee,47073
Nebraska,Hayes,967,915,HayesNebraska,31085
Texas,Hays,157107,194662,HaysTexas,48209
North Carolina,Haywood,59036,59646,HaywoodNorth Carolina,37087
Tennessee,Haywood,18787,18036,HaywoodTennessee,47075
Georgia,Heard,11834,11556,HeardGeorgia,13149
Texas,Hemphill,3807,4277,HemphillTexas,48211
Arkansas,Hempstead,22609,22085,HempsteadArkansas,5057
Illinois,Henderson,7331,6997,HendersonIllinois,17071
Kentucky,Henderson,46250,46344,HendersonKentucky,21101
North Carolina,Henderson,106740,111847,HendersonNorth Carolina,37089
Tennessee,Henderson,27769,28078,HendersonTennessee,47077
Texas,Henderson,78532,79492,HendersonTexas,48213
Indiana,Hendricks,145448,157776,HendricksIndiana,18063
Florida,Hendry,39140,39248,HendryFlorida,12051
Minnesota,Hennepin,1152425,1222200,HennepinMinnesota,27053
Virginia,Henrico,306935,324375,HenricoVirginia,51087
Alabama,Henry,17302,17101,HenryAlabama,1067
Georgia,Henry,203922,216414,HenryGeorgia,13151
Illinois,Henry,50486,49638,HenryIllinois,17073
Indiana,Henry,49462,48655,HenryIndiana,18065
Iowa,Henry,20145,19843,HenryIowa,19087
Kentucky,Henry,15416,15563,HenryKentucky,21103
Missouri,Henry,22272,21725,HenryMissouri,29083
Ohio,Henry,28215,27481,HenryOhio,39069
Tennessee,Henry,32330,32127,HenryTennessee,47079
Virginia,Henry,54151,51940,HenryVirginia,51089
New York,Herkimer,64519,62652,HerkimerNew York,36043
Florida,Hernando,172778,177900,HernandoFlorida,12053
North Carolina,Hertford,24669,24373,HertfordNorth Carolina,37091
North Dakota,Hettinger,2477,2657,HettingerNorth Dakota,38041
Kentucky,Hickman,4902,4612,HickmanKentucky,21105
Tennessee,Hickman,24690,24373,HickmanTennessee,47081
Missouri,Hickory,9627,9266,HickoryMissouri,29085
New Mexico,Hidalgo,4894,4436,HidalgoNew Mexico,35023
Texas,Hidalgo,774769,839667,HidalgoTexas,48215
Ohio,Highland,43589,42960,HighlandOhio,39071
Virginia,Highland,2321,2196,HighlandVirginia,51091
Florida,Highlands,98786,100137,HighlandsFlorida,12055
Montana,Hill,16096,16438,HillMontana,30041
Texas,Hill,35089,34828,HillTexas,48217
Florida,Hillsborough,1229226,1364073,HillsboroughFlorida,12057
New Hampshire,Hillsborough,400721,408985,HillsboroughNew Hampshire,33011
Michigan,Hillsdale,46688,45883,HillsdaleMichigan,26059
Mississippi,Hinds,245285,244216,HindsMississippi,28049
Colorado,Hinsdale,843,764,HinsdaleColorado,8053
Nebraska,Hitchcock,2908,2879,HitchcockNebraska,31087
Ohio,Hocking,29380,28500,HockingOhio,39073
Texas,Hockley,22935,23310,HockleyTexas,48219
Kansas,Hodgeman,1916,1869,HodgemanKansas,20083
North Carolina,Hoke,46952,52739,HokeNorth Carolina,37093
Florida,Holmes,19927,19273,HolmesFlorida,12059
Mississippi,Holmes,19198,18367,HolmesMississippi,28051
Ohio,Holmes,42366,43882,HolmesOhio,39075
Missouri,Holt,4912,4483,HoltMissouri,29087
Nebraska,Holt,10435,10263,HoltNebraska,31089
Hawaii,Honolulu,953207,991064,HonoluluHawaii,15003
Oregon,HoodRiver,22346,22927,HoodRiverOregon,41027
Texas,Hood,51182,55227,HoodTexas,48221
Nebraska,Hooker,736,714,HookerNebraska,31091
Alaska,Hoonah-Angoon,2150,2132,Hoonah-AngoonAlaska,2105
Virginia,HopewellCity,22591,22231,HopewellCityVirginia,51670
Kentucky,Hopkins,46920,46055,HopkinsKentucky,21107
Texas,Hopkins,35161,35973,HopkinsTexas,48223
South Carolina,Horry,269291,308987,HorrySouth Carolina,45051
Arkansas,HotSpring,32923,33497,HotSpringArkansas,5059
Wyoming,HotSprings,4812,4716,HotSpringsWyoming,56017
Michigan,Houghton,36628,36228,HoughtonMichigan,26061
Alabama,Houston,101547,104260,HoustonAlabama,1069
Georgia,Houston,139900,149323,HoustonGeorgia,13153
Minnesota,Houston,19027,18686,HoustonMinnesota,27055
Tennessee,Houston,8426,8124,HoustonTennessee,47083
Texas,Houston,23732,22747,HoustonTexas,48225
Arkansas,Howard,13789,13336,HowardArkansas,5061
Indiana,Howard,82752,82338,HowardIndiana,18067
Iowa,Howard,9566,9313,HowardIowa,19089
Maryland,Howard,287085,311297,HowardMaryland,24027
Missouri,Howard,10144,10134,HowardMissouri,29089
Nebraska,Howard,6274,6382,HowardNebraska,31093
Texas,Howard,35012,37123,HowardTexas,48227
Missouri,Howell,40400,40070,HowellMissouri,29091
Minnesota,Hubbard,20428,20646,HubbardMinnesota,27057
New Jersey,Hudson,634266,664492,HudsonNew Jersey,34017
Texas,Hudspeth,3476,3541,HudspethTexas,48229
Colorado,Huerfano,6711,6404,HuerfanoColorado,8055
Oklahoma,Hughes,14003,13592,HughesOklahoma,40063
South Dakota,Hughes,17022,17555,HughesSouth Dakota,46065
California,Humboldt,134623,135102,HumboldtCalifornia,6023
Iowa,Humboldt,9815,9556,HumboldtIowa,19091
Nevada,Humboldt,16528,17017,HumboldtNevada,32013
Mississippi,Humphreys,9375,8705,HumphreysMississippi,28053
Tennessee,Humphreys,18538,18157,HumphreysTennessee,47085
Texas,Hunt,86129,89670,HuntTexas,48231
New Jersey,Hunterdon,128349,125452,HunterdonNew Jersey,34019
Pennsylvania,Huntingdon,45913,45499,HuntingdonPennsylvania,42061
Indiana,Huntington,37124,36518,HuntingtonIndiana,18069
Michigan,Huron,33118,31763,HuronMichigan,26063
Ohio,Huron,59626,58307,HuronOhio,39077
South Dakota,Hutchinson,7343,7267,HutchinsonSouth Dakota,46067
Texas,Hutchinson,22150,21793,HutchinsonTexas,48233
North Carolina,Hyde,5810,5426,HydeNorth Carolina,37095
South Dakota,Hyde,1420,1386,HydeSouth Dakota,46069
Louisiana,Iberia,73240,73747,IberiaLouisiana,22045
Louisiana,Iberville,33387,33136,IbervilleLouisiana,22047
Iowa,Ida,7089,6968,IdaIowa,19093
Idaho,Idaho,16267,16301,IdahoIdaho,16049
California,Imperial,174528,178937,ImperialCalifornia,6025
Arkansas,Independence,36647,37035,IndependenceArkansas,5063
Florida,IndianRiver,138028,147434,IndianRiverFlorida,12061
Pennsylvania,Indiana,88880,86747,IndianaPennsylvania,42063
Michigan,Ingham,280895,287096,InghamMichigan,26065
California,Inyo,18546,18108,InyoCalifornia,6027
Michigan,Ionia,63905,64056,IoniaMichigan,26067
Michigan,Iosco,25887,25343,IoscoMichigan,26069
Iowa,Iowa,16355,16282,IowaIowa,19095
Wisconsin,Iowa,23687,23585,IowaWisconsin,55049
North Carolina,Iredell,159437,169453,IredellNorth Carolina,37097
Texas,Irion,1599,1543,IrionTexas,48235
Michigan,Iron,11817,11320,IronMichigan,26071
Missouri,Iron,10630,10203,IronMissouri,29093
Utah,Iron,46163,48113,IronUtah,49021
Wisconsin,Iron,5916,5727,IronWisconsin,55051
Illinois,Iroquois,29718,28522,IroquoisIllinois,17075
Georgia,Irwin,9538,9135,IrwinGeorgia,13155
Michigan,Isabella,70311,70767,IsabellaMichigan,26073
Minnesota,Isanti,37816,38281,IsantiMinnesota,27059
Washington,Island,78506,80022,IslandWashington,53029
Virginia,IsleofWight,35270,36159,IsleofWightVirginia,51093
Mississippi,Issaquena,1406,1337,IssaquenaMississippi,28055
Minnesota,Itasca,45058,45267,ItascaMinnesota,27061
Mississippi,Itawamba,23401,23543,ItawambaMississippi,28057
Arkansas,Izard,13696,13487,IzardArkansas,5065
Texas,Jack,9044,8883,JackTexas,48237
Alabama,Jackson,53227,52195,JacksonAlabama,1071
Arkansas,Jackson,17997,17365,JacksonArkansas,5067
Colorado,Jackson,1394,1353,JacksonColorado,8057
Florida,Jackson,49746,48609,JacksonFlorida,12063
Georgia,Jackson,60485,63418,JacksonGeorgia,13157
Illinois,Jackson,60218,59214,JacksonIllinois,17077
Indiana,Jackson,42376,43875,JacksonIndiana,18071
Iowa,Jackson,19848,19366,JacksonIowa,19097
Kansas,Jackson,13462,13285,JacksonKansas,20085
Kentucky,Jackson,13494,13325,JacksonKentucky,21109
Louisiana,Jackson,16274,15947,JacksonLouisiana,22049
Michigan,Jackson,160248,159264,JacksonMichigan,26075
Minnesota,Jackson,10266,10096,JacksonMinnesota,27063
Mississippi,Jackson,139668,141354,JacksonMississippi,28059
Missouri,Jackson,674158,686783,JacksonMissouri,29095
North Carolina,Jackson,40271,41305,JacksonNorth Carolina,37099
Ohio,Jackson,33225,32559,JacksonOhio,39079
Oklahoma,Jackson,26446,25459,JacksonOklahoma,40065
Oregon,Jackson,203206,211403,JacksonOregon,41029
South Dakota,Jackson,3031,3278,JacksonSouth Dakota,46071
Tennessee,Jackson,11638,11534,JacksonTennessee,47087
Texas,Jackson,14075,14808,JacksonTexas,48239
West Virginia,Jackson,29211,29170,JacksonWest Virginia,54035
Wisconsin,Jackson,20449,20524,JacksonWisconsin,55053
Virginia,JamesCity,67009,72819,JamesCityVirginia,51095
Georgia,Jasper,13900,13683,JasperGeorgia,13159
Illinois,Jasper,9698,9630,JasperIllinois,17079
Indiana,Jasper,33478,33478,JasperIndiana,18073
Iowa,Jasper,36842,36750,JasperIowa,19099
Mississippi,Jasper,17062,16554,JasperMississippi,28061
Missouri,Jasper,117404,118548,JasperMissouri,29097
South Carolina,Jasper,24777,27460,JasperSouth Carolina,45053
Texas,Jasper,35710,35266,JasperTexas,48241
Indiana,Jay,21253,21137,JayIndiana,18075
Georgia,JeffDavis,15068,15013,JeffDavisGeorgia,13161
Texas,JeffDavis,2342,2199,JeffDavisTexas,48243
Alabama,Jefferson,658466,660455,JeffersonAlabama,1073
Arkansas,Jefferson,77435,71872,JeffersonArkansas,5069
Colorado,Jefferson,534543,564888,JeffersonColorado,8059
Louisiana,JeffersonDavis,31594,31431,JeffersonDavisLouisiana,22053
Mississippi,JeffersonDavis,12487,11632,JeffersonDavisMississippi,28065
Florida,Jefferson,14761,14115,JeffersonFlorida,12065
Georgia,Jefferson,16930,15917,JeffersonGeorgia,13163
Idaho,Jefferson,26140,27127,JeffersonIdaho,16051
Illinois,Jefferson,38827,38272,JeffersonIllinois,17081
Indiana,Jefferson,32428,32297,JeffersonIndiana,18077
Iowa,Jefferson,16843,17906,JeffersonIowa,19101
Kansas,Jefferson,19126,18794,JeffersonKansas,20087
Kentucky,Jefferson,741096,764946,JeffersonKentucky,21111
Louisiana,Jefferson,432552,435175,JeffersonLouisiana,22051
Mississippi,Jefferson,7726,7503,JeffersonMississippi,28063
Missouri,Jefferson,218733,223116,JeffersonMissouri,29099
Montana,Jefferson,11406,11572,JeffersonMontana,30043
Nebraska,Jefferson,7547,7221,JeffersonNebraska,31095
New York,Jefferson,116229,116371,JeffersonNew York,36045
Ohio,Jefferson,69709,67495,JeffersonOhio,39081
Oklahoma,Jefferson,6472,6266,JeffersonOklahoma,40067
Oregon,Jefferson,21720,22541,JeffersonOregon,41031
Pennsylvania,Jefferson,45200,44344,JeffersonPennsylvania,42065
Tennessee,Jefferson,51407,53011,JeffersonTennessee,47089
Texas,Jefferson,252273,255112,JeffersonTexas,48245
Washington,Jefferson,29872,30339,JeffersonWashington,53031
West Virginia,Jefferson,53498,56070,JeffersonWest Virginia,54037
Wisconsin,Jefferson,83686,84488,JeffersonWisconsin,55055
Georgia,Jenkins,8340,8899,JenkinsGeorgia,13165
Indiana,Jennings,28525,27834,JenningsIndiana,18079
South Dakota,Jerauld,2071,2018,JerauldSouth Dakota,46073
Idaho,Jerome,22374,22971,JeromeIdaho,16053
Illinois,Jersey,22985,22260,JerseyIllinois,17083
Kentucky,Jessamine,48586,51809,JessamineKentucky,21113
Kansas,Jewell,3077,2963,JewellKansas,20089
Texas,JimHogg,5300,5296,JimHoggTexas,48247
Texas,JimWells,40838,41523,JimWellsTexas,48249
Illinois,JoDaviess,22678,22066,JoDaviessIllinois,17085
Arkansas,Johnson,25540,26094,JohnsonArkansas,5071
Georgia,Johnson,9980,9708,JohnsonGeorgia,13167
Illinois,Johnson,12582,12777,JohnsonIllinois,17087
Indiana,Johnson,139654,148962,JohnsonIndiana,18081
Iowa,Johnson,130882,144943,JohnsonIowa,19103
Kansas,Johnson,544179,579684,JohnsonKansas,20091
Kentucky,Johnson,23356,23128,JohnsonKentucky,21115
Missouri,Johnson,52595,53496,JohnsonMissouri,29101
Nebraska,Johnson,5217,5239,JohnsonNebraska,31097
Tennessee,Johnson,18244,17842,JohnsonTennessee,47091
Texas,Johnson,150934,159345,JohnsonTexas,48251
Wyoming,Johnson,8569,8611,JohnsonWyoming,56019
North Carolina,Johnston,168878,185104,JohnstonNorth Carolina,37101
Oklahoma,Johnston,10957,10967,JohnstonOklahoma,40069
