state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
GEORGIA,Lee,13177,6.2919,0.3018,11.2
KANSAS,Anderson,20003,6.2926,0.3021,12.3
SOUTH DAKOTA,Hughes,46065,6.2954,0.3025,7.9
WISCONSIN,Marinette,55075,6.3037,0.3028,6.4
NEBRASKA,Dixon,31051,6.3082,0.3031,9.2
ALABAMA,Madison,1089,6.3107,0.3034,10.3
MINNESOTA,Swift,27151,6.3145,0.3037,5.2
MINNESOTA,Martin,27091,6.3187,0.304,6.6
MONTANA,Dawson,30021,6.3219,0.3044,9.7
OHIO,Washington,39167,6.3244,0.3047,8.6
GEORGIA,Cobb,13067,6.3266,0.305,15.4
INDIANA,Vermillion,18165,6.3279,0.3053,10.4
ARKANSAS,Baxter,5005,6.3305,0.306,9.2
COLORADO,Arapahoe,8005,6.3305,0.3056,11.4
WYOMING,Niobrara,56027,6.333,0.3063,12.3
ILLINOIS,Mason,17125,6.3362,0.3066,6.9
VIRGINIA,Louisa,51109,6.3397,0.3069,14.5
SOUTH DAKOTA,Clark,46025,6.3448,0.3072,9.2
PENNSYLVANIA,Monroe,42089,6.3451,0.3075,9.8
VIRGINIA,Giles,51071,6.3461,0.3079,13.6
INDIANA,Putnam,18133,6.3486,0.3082,10.3
PENNSYLVANIA,Franklin,42055,6.3508,0.3088,11.4
ILLINOIS,Douglas,17041,6.3508,0.3085,15
NEW YORK,Rensselaer,36083,6.3515,0.3091,5.3
TEXAS,Fayette,48149,6.3518,0.3095,14.3
MICHIGAN,Otsego,26137,6.3528,0.3098,8.7
VIRGINIA,Washington,51191,6.3556,0.3101,10.9
SOUTH DAKOTA,McPherson,46089,6.3559,0.3104,15.6
OHIO,Erie,39043,6.3601,0.3107,8.2
VIRGINIA,Bath,51017,6.362,0.311,10.8
MARYLAND,Montgomery,24031,6.3636,0.3114,9.3
KANSAS,Sherman,20181,6.3642,0.3117,6.9
MONTANA,Fergus,30027,6.3674,0.312,13.3
SOUTH DAKOTA,Davison,46035,6.368,0.3123,7.3
ILLINOIS,Greene,17061,6.3696,0.3126,8.4
COLORADO,Lake,8065,6.3706,0.313,16.6
KENTUCKY,Lyon,21143,6.3709,0.3133,9
UTAH,Cache,49005,6.3712,0.3136,9.5
MINNESOTA,Aitkin,27001,6.375,0.3139,6
NORTH DAKOTA,Walsh,38099,6.3766,0.3142,7.5
TENNESSEE,Fayette,47047,6.3779,0.3145,9.1
MISSOURI,Cole,29051,6.3789,0.3149,9.2
MINNESOTA,Itasca,27061,6.3795,0.3152,8.2
WASHINGTON,Kitsap,53035,6.384,0.3155,7.7
VIRGINIA,Shenandoah,51171,6.3932,0.3158,10.9
NEVADA,Lincoln,32017,6.3976,0.3161,12.7
VERMONT,Rutland,50021,6.3992,0.3165,5.8
NORTH CAROLINA,Wake,37183,6.3999,0.3168,10.4
IDAHO,Latah,16057,6.4018,0.3171,8.2
NEW YORK,Schuyler,36097,6.4043,0.3174,8.5
MINNESOTA,Norman,27107,6.4059,0.3177,7.4
MINNESOTA,Hennepin,27053,6.4107,0.3181,6.8
PENNSYLVANIA,Sullivan,42113,6.4196,0.3184,9.4
MINNESOTA,St. Louis,27137,6.4199,0.3187,5.4
OKLAHOMA,Kingfisher,40073,6.4228,0.319,12.7
UTAH,Uintah,49047,6.4269,0.3193,14.5
INDIANA,Bartholomew,18005,6.4295,0.3196,10.7
KANSAS,Dickinson,20041,6.4298,0.32,7.4
ILLINOIS,Clark,17023,6.4317,0.3203,8
ARKANSAS,Saline,5125,6.4349,0.3206,8.7
NEW YORK,Cortland,36023,6.4479,0.3209,5.9
NEBRASKA,Lancaster,31109,6.4527,0.3212,9.3
OKLAHOMA,Cleveland,40027,6.4562,0.3216,10.6
ILLINOIS,Bureau,17011,6.46,0.3219,7.6
NEBRASKA,Platte,31141,6.46,0.3219,8.9
IDAHO,Bonner,16017,6.462,0.3225,14.8
LOUISIANA,St. Tammany,22103,6.4686,0.3228,11.6
MONTANA,Beaverhead,30001,6.4702,0.3231,11.3
IOWA,Franklin,19069,6.4718,0.3235,5.9
WEST VIRGINIA,Tucker,54093,6.4721,0.3238,8.6
NORTH DAKOTA,McKenzie,38053,6.4728,0.3241,18
TEXAS,Motley,48345,6.4731,0.3244,25
NEW YORK,Niagara,36063,6.4753,0.3247,5.4
NEBRASKA,Cuming,31039,6.4833,0.3251,8.9
COLORADO,Custer,8027,6.4868,0.3254,16.7
GEORGIA,Walton,13297,6.4881,0.326,12.8
MINNESOTA,Lyon,27083,6.4881,0.3257,6.5
MINNESOTA,Polk,27119,6.489,0.3263,6.2
VIRGINIA,Suffolk City,51800,6.49,0.3266,9.1
PENNSYLVANIA,Jefferson,42065,6.4909,0.327,9.7
MINNESOTA,Cass,27021,6.4979,0.3273,8.2
MINNESOTA,Stearns,27145,6.4986,0.3276,5.1
LOUISIANA,Ascension,22005,6.5005,0.3279,10.3
TENNESSEE,Knox,47093,6.5008,0.3282,9.9
FLORIDA,Nassau,12089,6.5037,0.3286,13.3
ALABAMA,St. Clair,1115,6.5053,0.3289,9
ILLINOIS,Ford,17053,6.5053,0.3295,7.4
PENNSYLVANIA,Bedford,42009,6.5053,0.3292,9.3
TEXAS,Hood,48221,6.5059,0.3298,16.8
OHIO,Tuscarawas,39157,6.5123,0.3301,11
WEST VIRGINIA,Grant,54023,6.5138,0.3305,6.5
WASHINGTON,Clark,53011,6.5154,0.3308,9.3
OHIO,Summit,39153,6.517,0.3311,7.9
GEORGIA,Effingham,13103,6.5186,0.3314,11.7
IOWA,Jefferson,19101,6.5189,0.3317,7.6
COLORADO,Moffat,8081,6.525,0.3321,14.1
UTAH,Sevier,49041,6.5288,0.3324,14.3
SOUTH DAKOTA,Gregory,46053,6.5304,0.3327,10.1
WYOMING,Big Horn,56003,6.5336,0.333,15.1
WEST VIRGINIA,Hancock,54029,6.5345,0.3333,10
IDAHO,Adams,16003,6.5352,0.3337,18.3
ILLINOIS,Brown,17009,6.5409,0.334,4.9
OHIO,Noble,39121,6.5431,0.3343,7.2
VERMONT,Caledonia,50005,6.5435,0.3346,5.3
COLORADO,Dolores,8033,6.5435,0.3349,10.3
FLORIDA,Flagler,12035,6.5441,0.3352,14.5
OHIO,Crawford,39033,6.5486,0.3356,8.3
IDAHO,Custer,16037,6.5501,0.3359,13.8
OHIO,Defiance,39039,6.5511,0.3362,9.1
MICHIGAN,Macomb,26099,6.554,0.3365,8
MISSISSIPPI,Rankin,28121,6.5568,0.3368,10.5
INDIANA,Owen,18119,6.5581,0.3372,12.7
TEXAS,Concho,48095,6.5581,0.3375,16.5
TEXAS,Bandera,48019,6.5629,0.3378,14.9
COLORADO,Phillips,8095,6.5635,0.3381,13.1
IOWA,Mahaska,19123,6.5648,0.3384,5.3
OKLAHOMA,Logan,40083,6.5686,0.3387,13.6
PENNSYLVANIA,Snyder,42109,6.5708,0.3391,13.8
MICHIGAN,St. Clair,26147,6.5712,0.3394,8.1
TENNESSEE,Smith,47159,6.5734,0.3397,9.7
MINNESOTA,Watonwan,27165,6.574,0.34,14.8
GEORGIA,Bryan,13029,6.5826,0.3403,13.2
TEXAS,Sherman,48421,6.5842,0.3407,23.7
FLORIDA,Santa Rosa,12113,6.5925,0.341,11.7
NEW YORK,Washington,36115,6.5934,0.3413,8.1
KENTUCKY,Nelson,21179,6.595,0.3416,8.3
ILLINOIS,Wayne,17191,6.5976,0.3419,8.2
KANSAS,Woodson,20207,6.5995,0.3422,15.3
MISSOURI,Caldwell,29025,6.61,0.3426,8.6
TENNESSEE,Stewart,47161,6.6116,0.3429,10.5
VIRGINIA,Rockingham,51165,6.6119,0.3432,11.7
WASHINGTON,Thurston,53067,6.6119,0.3435,8.7
NEW JERSEY,Cape May,34009,6.6154,0.3438,7.5
OHIO,Williams,39171,6.6221,0.3442,6.6
WEST VIRGINIA,Pendleton,54071,6.6221,0.3445,9.3
ILLINOIS,Lee,17103,6.6237,0.3448,7.1
NORTH CAROLINA,Transylvania,37175,6.6243,0.3451,17.3
MISSISSIPPI,Madison,28089,6.6256,0.3454,8.1
TENNESSEE,Rutherford,47149,6.6342,0.3457,11.1
WEST VIRGINIA,Marion,54049,6.6367,0.3464,8.9
IDAHO,Lemhi,16059,6.6367,0.3461,15.3
UTAH,Millard,49027,6.6409,0.3467,14.4
UTAH,Salt Lake,49035,6.6434,0.347,13.5
KANSAS,Rice,20159,6.6437,0.3473,12.3
MISSOURI,Cape Girardeau,29031,6.6476,0.3477,8.9
WISCONSIN,Langlade,55067,6.6488,0.348,8.8
OKLAHOMA,Wagoner,40145,6.6504,0.3483,13.2
ALASKA,Fairbanks North Star,2090,6.6527,0.3486,11.6
VIRGINIA,Charlottesville City,51540,6.6533,0.3489,10.1
NEW YORK,Tompkins,36109,6.6539,0.3493,5.3
CONNECTICUT,New London,9011,6.6565,0.3496,5.4
OHIO,Butler,39017,6.6622,0.3499,7.8
ILLINOIS,Lake,17097,6.6628,0.3502,9
WISCONSIN,Douglas,55031,6.6632,0.3505,8
NEBRASKA,Lincoln,31111,6.6667,0.3508,10.5
IOWA,Tama,19171,6.6676,0.3512,7.6
ILLINOIS,Moultrie,17139,6.6686,0.3515,13
MISSOURI,Howard,29089,6.6718,0.3518,8.6
MONTANA,Phillips,30071,6.6721,0.3521,21.1
SOUTH DAKOTA,Minnehaha,46099,6.6724,0.3524,8.9
FLORIDA,Okaloosa,12091,6.6743,0.3528,13.4
INDIANA,Monroe,18105,6.6778,0.3531,9.8
SOUTH DAKOTA,Walworth,46129,6.6804,0.3534,8.7
NEBRASKA,Sheridan,31161,6.6816,0.3537,14.9
IDAHO,Bonneville,16019,6.6829,0.354,11.9
NEW YORK,Livingston,36051,6.6839,0.3543,5.2
IOWA,Monroe,19135,6.6842,0.355,8.3
MICHIGAN,Iron,26071,6.6842,0.3547,9.2
INDIANA,Montgomery,18107,6.6861,0.3553,11.7
WEST VIRGINIA,Monongalia,54061,6.687,0.3556,8.7
FLORIDA,Clay,12019,6.6874,0.3559,11.9
VIRGINIA,Nelson,51125,6.6902,0.3563,12.1
ILLINOIS,Iroquois,17075,6.6931,0.3566,8.2
OHIO,Knox,39083,6.6947,0.3569,10.9
MINNESOTA,Kanabec,27065,6.6953,0.3572,6.1
WISCONSIN,Rusk,55107,6.6963,0.3575,10.4
NEW YORK,Wayne,36117,6.6995,0.3578,7
MARYLAND,Baltimore,24005,6.7017,0.3582,7.4
MISSOURI,Ray,29177,6.7055,0.3585,9.1
MICHIGAN,Cass,26027,6.7074,0.3588,10
TENNESSEE,Robertson,47147,6.7084,0.3591,10.3
OREGON,Washington,41067,6.7096,0.3594,9.5
NORTH CAROLINA,Haywood,37087,6.7106,0.3598,13
TEXAS,Callahan,48059,6.7116,0.3601,22.4
ILLINOIS,Schuyler,17169,6.7122,0.3604,16.8
INDIANA,Shelby,18145,6.7128,0.3607,12.3
NEW JERSEY,Ocean,34029,6.7138,0.361,8
GEORGIA,Henry,13151,6.7138,0.3613,13.1
ILLINOIS,Wabash,17185,6.717,0.3617,7.6
OKLAHOMA,Harper,40059,6.7202,0.362,14.8
UTAH,Duchesne,49013,6.7246,0.3623,14.4
PENNSYLVANIA,Blair,42013,6.7262,0.3626,7.2
IOWA,Appanoose,19007,6.7291,0.3629,9.4
OHIO,Harrison,39067,6.7335,0.3633,10.3
OHIO,Stark,39151,6.7364,0.3636,7.4
ARKANSAS,Newton,5101,6.7364,0.3639,13.4
ALASKA,Kenai Peninsula,2122,6.738,0.3645,20.2
COLORADO,El Paso,8041,6.738,0.3642,9.4
PENNSYLVANIA,Cameron,42023,6.7393,0.3649,6.2
OHIO,Seneca,39147,6.7405,0.3652,6.8
MISSOURI,Stone,29209,6.7421,0.3655,13.7
VIRGINIA,Salem City,51775,6.7424,0.3658,9.1
INDIANA,Starke,18149,6.7485,0.3661,9.5
UTAH,Grand,49019,6.7488,0.3664,20.9
IDAHO,Oneida,16071,6.7507,0.3668,13
PENNSYLVANIA,Union,42119,6.7517,0.3671,11.2
INDIANA,Fulton,18049,6.7523,0.3674,12.2
IOWA,Emmet,19063,6.7526,0.3677,8.5
IOWA,Webster,19187,6.7606,0.368,7
NEW YORK,Columbia,36021,6.7615,0.3684,6.1
MISSOURI,Greene,29077,6.7625,0.3687,13
WEST VIRGINIA,Tyler,54095,6.7628,0.369,14.4
WEST VIRGINIA,Wood,54107,6.7635,0.3693,9.5
WISCONSIN,Brown,55009,6.7641,0.3696,6.9
MISSOURI,Callaway,29027,6.7743,0.3699,10.2
ARKANSAS,Cleburne,5023,6.7762,0.3706,13.8
MINNESOTA,Rice,27131,6.7762,0.3703,6.4
GEORGIA,Union,13291,6.7768,0.3709,12.4
OHIO,Sandusky,39143,6.7775,0.3712,6.9
VIRGINIA,Prince George,51149,6.7787,0.3715,9
VIRGINIA,Alleghany,51005,6.7816,0.3719,8.3
OHIO,Belmont,39013,6.7851,0.3722,8.5
GEORGIA,Fannin,13111,6.7854,0.3725,15.3
KENTUCKY,Greenup,21089,6.7857,0.3728,9.6
NORTH CAROLINA,Davie,37059,6.7889,0.3731,13
TENNESSEE,Trousdale,47169,6.7892,0.3734,12.3
WEST VIRGINIA,Ohio,54069,6.7896,0.3738,8.6
NORTH DAKOTA,Mountrail,38061,6.7921,0.3741,19.3
MISSOURI,Monroe,29137,6.7947,0.3744,14.8
NEW YORK,Schenectady,36093,6.795,0.3747,5.9
KANSAS,Stevens,20189,6.7959,0.375,16.3
NORTH CAROLINA,Camden,37029,6.7972,0.3754,10.3
VIRGINIA,Carroll,51035,6.7978,0.3757,13.5
MICHIGAN,Montmorency,26119,6.8017,0.376,10.8
KANSAS,Cherokee,20021,6.8032,0.3763,14.3
ILLINOIS,Gallatin,17059,6.8061,0.3766,6.9
CALIFORNIA,San Luis Obispo,6079,6.8106,0.377,10.1
ALABAMA,Autauga,1001,6.8109,0.3773,8.9
MISSOURI,Gentry,29075,6.8109,0.3776,11.1
ARKANSAS,Lonoke,5085,6.8118,0.3779,10.1
TEXAS,Gillespie,48171,6.8125,0.3782,18.2
IOWA,Polk,19153,6.8144,0.3785,6.3
IDAHO,Clearwater,16035,6.8144,0.3789,13.4
MISSOURI,Adair,29001,6.8147,0.3792,8.8
OREGON,Benton,41003,6.816,0.3795,7.8
IOWA,Muscatine,19139,6.8192,0.3798,6.6
IOWA,Black Hawk,19013,6.823,0.3801,6.6
OHIO,Madison,39097,6.8249,0.3805,8.4
WYOMING,Sweetwater,56037,6.8255,0.3808,13.2
TENNESSEE,Washington,47179,6.8268,0.3814,11.1
VIRGINIA,Appomattox,51011,6.8268,0.3811,9.3
GEORGIA,White,13311,6.829,0.3817,14
WISCONSIN,Waushara,55137,6.8297,0.382,8.9
KANSAS,Riley,20161,6.8297,0.3824,6.3
SOUTH CAROLINA,Charleston,45019,6.8325,0.3827,13.3
VIRGINIA,Lexington City,51678,6.8325,0.383,7.4
TENNESSEE,Van Buren,47175,6.8335,0.3833,12.2
HAWAII,Maui,15009,6.8338,0.3836,7
VIRGINIA,Surry,51181,6.8344,0.384,13.2
KENTUCKY,Boyle,21021,6.8399,0.3843,9.1
MICHIGAN,Menominee,26109,6.8411,0.3849,8.4
MISSOURI,Lincoln,29113,6.8411,0.3846,9.6
CALIFORNIA,Santa Clara,6085,6.8529,0.3852,7.7
ILLINOIS,Sangamon,17167,6.8535,0.3855,6
VERMONT,Orleans,50019,6.8545,0.3859,6.4
MICHIGAN,Delta,26041,6.8548,0.3862,9.5
MICHIGAN,Tuscola,26157,6.8583,0.3865,8.6
MONTANA,Mineral,30061,6.859,0.3868,14
MINNESOTA,Freeborn,27047,6.8609,0.3871,7
INDIANA,Clay,18021,6.8637,0.3875,10
KENTUCKY,Kenton,21117,6.8644,0.3878,8.5
OKLAHOMA,Washita,40149,6.865,0.3881,11
NEBRASKA,Kimball,31105,6.8746,0.3884,15.1
OKLAHOMA,Washington,40147,6.88,0.3887,15.1
WEST VIRGINIA,Ritchie,54085,6.88,0.389,13.4
TEXAS,Briscoe,48045,6.8828,0.3894,21.4
GEORGIA,Morgan,13211,6.8838,0.3897,13.4
KANSAS,Kearny,20093,6.886,0.39,11.3
NORTH CAROLINA,Lincoln,37109,6.8905,0.3903,12.5
CALIFORNIA,Plumas,6063,6.8911,0.3906,10.3
DELAWARE,New Castle,10003,6.894,0.391,6.9
MAINE,Oxford,23017,6.8975,0.3913,11
INDIANA,Washington,18175,6.8988,0.3919,11.7
KANSAS,Stanton,20187,6.8988,0.3916,14
MICHIGAN,Alpena,26007,6.8991,0.3922,9.9
KENTUCKY,Henry,21103,6.901,0.3929,9.6
MISSOURI,Camden,29029,6.901,0.3926,16.4
NEW YORK,Seneca,36099,6.9026,0.3932,9.7
MASSACHUSETTS,Worcester,25027,6.9048,0.3935,3
ILLINOIS,Logan,17107,6.9051,0.3938,6
NEW MEXICO,Catron,35003,6.9061,0.3941,16.8
MISSOURI,Johnson,29101,6.9086,0.3945,10.1
KANSAS,Elk,20049,6.9099,0.3948,11.6
IOWA,Wayne,19185,6.9109,0.3951,12.8
KENTUCKY,Carlisle,21039,6.915,0.3954,12.8
KANSAS,Greeley,20071,6.9156,0.3957,7.6
HAWAII,Kalawao,15005,6.9195,0.3961,7.3
MISSOURI,Shelby,29205,6.9204,0.3964,14.9
MICHIGAN,Alger,26003,6.9207,0.3967,10.1
ILLINOIS,Livingston,17105,6.9331,0.397,6.5
ILLINOIS,LaSalle,17099,6.9338,0.3973,7.9
MISSOURI,Livingston,29117,6.9344,0.3976,13.6
ILLINOIS,Richland,17159,6.9382,0.398,6.7
KENTUCKY,Simpson,21213,6.9405,0.3983,11.5
NEW YORK,Erie,36029,6.9405,0.3986,4.8
INDIANA,Parke,18121,6.9452,0.3989,14.8
TEXAS,Montgomery,48339,6.9452,0.3992,15.3
ILLINOIS,Edgar,17045,6.9456,0.3996,7.4
MINNESOTA,Koochiching,27071,6.9456,0.3999,6.9
LOUISIANA,St. Charles,22089,6.9459,0.4002,12.8
ALASKA,Anchorage,2020,6.95,0.4005,14.5
WEST VIRGINIA,Harrison,54033,6.9535,0.4008,8.9
SOUTH DAKOTA,Pennington,46103,6.9538,0.4011,11.5
MAINE,Kennebec,23011,6.9548,0.4015,8.5
OREGON,Columbia,41009,6.9554,0.4018,9.6
IOWA,Henry,19087,6.9567,0.4021,5.5
ILLINOIS,Whiteside,17195,6.958,0.4024,7.2
PENNSYLVANIA,Somerset,42111,6.9599,0.4027,8.2
MICHIGAN,Bay,26017,6.9608,0.4031,7.4
MONTANA,Cascade,30013,6.9621,0.4034,11.6
PENNSYLVANIA,Delaware,42045,6.9637,0.4037,7
WISCONSIN,Vernon,55123,6.9656,0.404,16.8
MICHIGAN,Sanilac,26151,6.9663,0.4046,11.8
NORTH CAROLINA,New Hanover,37129,6.9663,0.4043,12.4
WISCONSIN,Sawyer,55113,6.9698,0.405,10.7
SOUTH CAROLINA,York,45091,6.9717,0.4053,10.8
ALASKA,Petersburg,2195,6.9723,0.4056,15.6
OHIO,Coshocton,39031,6.9745,0.4059,12.9
NEW YORK,Essex,36031,6.9793,0.4062,6.8
MINNESOTA,Benton,27009,6.9819,0.4066,6.3
KENTUCKY,Shelby,21211,6.9828,0.4069,11
KANSAS,Linn,20107,6.9911,0.4072,8.8
IOWA,Louisa,19115,6.9927,0.4075,5.7
CALIFORNIA,Contra Costa,6013,6.993,0.4078,8.5
IDAHO,Nez Perce,16069,6.9978,0.4082,12.3
MICHIGAN,Lenawee,26091,6.9987,0.4085,8.5
CALIFORNIA,San Francisco,6075,7.0022,0.4088,6.9
ILLINOIS,Williamson,17199,7.0064,0.4091,8.2
MICHIGAN,Iosco,26069,7.007,0.4094,10.4
WISCONSIN,Juneau,55057,7.0083,0.4097,7.9
SOUTH DAKOTA,Tripp,46123,7.0108,0.4104,9.8
NORTH CAROLINA,Moore,37125,7.0108,0.4101,10.9
NEW YORK,Greene,36039,7.0111,0.4107,6.7
MICHIGAN,Kalamazoo,26077,7.0131,0.411,7.7
VIRGINIA,Essex,51057,7.0137,0.4113,12
PENNSYLVANIA,Lawrence,42073,7.0197,0.4117,7.1
TEXAS,Foard,48155,7.022,0.412,14.5
NORTH CAROLINA,Watauga,37189,7.022,0.4123,10.4
VIRGINIA,Orange,51137,7.0223,0.4126,11.2
NORTH CAROLINA,Stokes,37169,7.0248,0.4129,12.6
MICHIGAN,Kalkaska,26079,7.0283,0.4132,11.2
KANSAS,Morton,20129,7.0287,0.4136,10.9
INDIANA,Kosciusko,18085,7.0296,0.4139,12.4
OKLAHOMA,Major,40093,7.0306,0.4142,12.4
OKLAHOMA,Woodward,40153,7.0312,0.4145,9.3
MASSACHUSETTS,Berkshire,25003,7.0315,0.4148,3
IOWA,Pottawattamie,19155,7.0322,0.4152,8.2
NEW MEXICO,Sandoval,35043,7.0331,0.4158,11.3
NORTH CAROLINA,Macon,37113,7.0331,0.4155,17.8
WEST VIRGINIA,Doddridge,54017,7.036,0.4161,13
ILLINOIS,Coles,17029,7.0392,0.4164,9.3
IOWA,Des Moines,19057,7.0404,0.4167,6.8
MONTANA,Sanders,30089,7.0411,0.4171,18.4
NEBRASKA,Johnson,31097,7.0417,0.4174,9.3
MONTANA,Chouteau,30015,7.0427,0.4177,19.1
VIRGINIA,Russell,51167,7.0433,0.418,12.8
PENNSYLVANIA,Venango,42121,7.0436,0.4183,8.3
NORTH CAROLINA,Chatham,37037,7.0449,0.4187,12.8
ALABAMA,Cherokee,1019,7.0465,0.419,9.5
INDIANA,Jennings,18079,7.0468,0.4193,11.4
GEORGIA,Towns,13281,7.0478,0.4196,13.3
MICHIGAN,Cheboygan,26031,7.0478,0.4199,11.9
PENNSYLVANIA,Huntingdon,42061,7.0481,0.4202,7.6
KANSAS,Saline,20169,7.049,0.4206,12
MISSOURI,Linn,29115,7.0493,0.4209,13.7
IOWA,Wright,19197,7.0497,0.4212,7.8
VIRGINIA,Caroline,51033,7.0519,0.4215,9.7
MISSOURI,DeKalb,29063,7.0522,0.4218,8.8
INDIANA,LaGrange,18087,7.0528,0.4222,40.3
INDIANA,Knox,18083,7.0532,0.4225,11.1
VIRGINIA,Franklin,51067,7.0554,0.4228,12.2
OHIO,Huron,39077,7.0627,0.4231,9.3
MISSOURI,Henry,29083,7.0634,0.4234,13.2
WEST VIRGINIA,Pleasants,54073,7.0659,0.4238,6.9
UTAH,Weber,49057,7.0681,0.4241,12
IDAHO,Camas,16025,7.0691,0.4244,21.9
ARKANSAS,Greene,5055,7.0694,0.4247,11.8
VIRGINIA,Page,51139,7.0697,0.425,13.6
ARKANSAS,Searcy,5129,7.071,0.4253,13.3
TEXAS,Llano,48299,7.072,0.4257,17.8
NEW YORK,Chemung,36015,7.0726,0.426,6.3
PENNSYLVANIA,Juniata,42067,7.0729,0.4263,13.5
FLORIDA,Brevard,12009,7.0732,0.4266,13.2
SOUTH CAROLINA,Lexington,45063,7.0735,0.4269,11.4
INDIANA,Greene,18055,7.0739,0.4276,12.2
OHIO,Hardin,39065,7.0739,0.4273,10.6
VIRGINIA,Wythe,51197,7.0774,0.4279,13.1
COLORADO,Montezuma,8083,7.0796,0.4282,19.4
CALIFORNIA,Sonoma,6097,7.0802,0.4285,10.1
SOUTH CAROLINA,Kershaw,45055,7.0834,0.4288,12.3
GEORGIA,Jackson,13157,7.0837,0.4292,14.1
SOUTH CAROLINA,Dorchester,45035,7.084,0.4295,11.6
IDAHO,Fremont,16043,7.0856,0.4298,14.3
NEBRASKA,Morrill,31123,7.0876,0.4301,13
VIRGINIA,Manassas Park City,51685,7.0939,0.4304,22.3
VIRGINIA,Manassas City,51683,7.0968,0.4308,18.8
INDIANA,Henry,18065,7.0974,0.4311,12.2
MINNESOTA,Kandiyohi,27067,7.0977,0.4314,6.9
ARKANSAS,Faulkner,5045,7.0981,0.4317,11.7
OHIO,Brown,39015,7.1006,0.432,10.2
IDAHO,Boundary,16021,7.1016,0.4323,21.5
MARYLAND,Kent,24029,7.1032,0.4327,6.6
ALABAMA,Colbert,1033,7.1098,0.4333,9.1
KANSAS,Edwards,20047,7.1098,0.433,12.6
CONNECTICUT,Fairfield,9001,7.1114,0.4336,10.1
ILLINOIS,Boone,17007,7.1127,0.4339,8.1
MINNESOTA,Pipestone,27117,7.1146,0.4343,6.9
TEXAS,Wilson,48493,7.1152,0.4346,14
NEW YORK,Ulster,36111,7.1162,0.4349,8.4
MISSOURI,Lewis,29111,7.1168,0.4352,10.6
UTAH,Garfield,49017,7.1172,0.4355,19.1
INDIANA,Randolph,18135,7.1184,0.4358,13.9
WASHINGTON,Kittitas,53037,7.1188,0.4362,11.4
MINNESOTA,Todd,27153,7.12,0.4365,11
VIRGINIA,Pulaski,51155,7.1207,0.4368,9.6
TEXAS,Hartley,48205,7.1232,0.4371,13.5
TEXAS,Guadalupe,48187,7.1242,0.4374,14.5
NEW MEXICO,De Baca,35011,7.1248,0.4378,13.3
WEST VIRGINIA,Monroe,54063,7.1258,0.4381,10.7
MAINE,Penobscot,23019,7.1267,0.4384,10.5
KANSAS,Haskell,20081,7.1289,0.4387,18.4
ILLINOIS,Montgomery,17135,7.1302,0.439,5.9
ILLINOIS,Kane,17089,7.1302,0.4394,11.2
NEW YORK,Otsego,36077,7.1305,0.4397,7.2
MISSISSIPPI,Lafayette,28071,7.134,0.44,10.4
KANSAS,Pratt,20151,7.1372,0.4403,10.2
KENTUCKY,Mercer,21167,7.1385,0.4406,9.2
TEXAS,Sterling,48431,7.1388,0.4409,24.6
MISSOURI,Knox,29103,7.1404,0.4413,20.1
FLORIDA,Martin,12085,7.1404,0.4416,13.7
NEW YORK,Dutchess,36027,7.142,0.4422,6.6
TEXAS,Travis,48453,7.142,0.4419,16.1
CALIFORNIA,Orange,6059,7.1426,0.4425,12.3
TEXAS,Coleman,48083,7.1436,0.4429,24.3
MONTANA,Toole,30101,7.1471,0.4432,16.9
ALASKA,Hoonah-Angoon,2105,7.1474,0.4435,26
OHIO,Clinton,39027,7.148,0.4441,8.6
SOUTH DAKOTA,Fall River,46047,7.148,0.4444,9.3
TENNESSEE,Loudon,47105,7.148,0.4438,11.6
COLORADO,Garfield,8045,7.149,0.4448,23.5
PENNSYLVANIA,Schuylkill,42107,7.1493,0.4451,7.9
TEXAS,Martin,48317,7.1573,0.4454,22.3
CONNECTICUT,Windham,9015,7.1605,0.4457,6.3
WEST VIRGINIA,Nicholas,54067,7.1722,0.446,8.3
WEST VIRGINIA,Taylor,54091,7.1741,0.4464,8.7
PENNSYLVANIA,Lycoming,42081,7.1761,0.4467,7.1
NORTH CAROLINA,Henderson,37089,7.1789,0.447,13.7
NORTH CAROLINA,Cabarrus,37025,7.1862,0.4473,10.5
OREGON,Grant,41023,7.1901,0.4476,10.5
IOWA,Davis,19051,7.1917,0.4479,24.5
TEXAS,Midland,48329,7.1926,0.4483,19.7
MISSOURI,Mercer,29129,7.1936,0.4486,18.9
OHIO,Wayne,39169,7.1958,0.4489,13
SOUTH CAROLINA,Beaufort,45013,7.1968,0.4492,14
TEXAS,Kent,48263,7.1974,0.4495,11.7
TEXAS,Runnels,48399,7.2012,0.4499,17.4
WASHINGTON,Asotin,53003,7.2022,0.4502,9.9
NEW YORK,Herkimer,36043,7.2031,0.4505,7.7
KANSAS,Grant,20067,7.2044,0.4508,20.6
UTAH,Washington,49053,7.2063,0.4511,15.4
WASHINGTON,Whitman,53075,7.2092,0.4514,7.4
GEORGIA,Gwinnett,13135,7.2111,0.4518,18.3
ILLINOIS,Hardin,17069,7.2143,0.4521,10.1
UTAH,Piute,49031,7.2146,0.4524,18.4
MONTANA,Lincoln,30053,7.2197,0.4527,16.3
KENTUCKY,McCracken,21145,7.2206,0.4534,8.8
