state,county,2010_population,2015_population
West Virginia,Hampshire,23964,23311
Georgia,Hancock,9429,8578
Illinois,Hancock,19104,18216
Indiana,Hancock,70002,72413
Iowa,Hancock,11341,11028
Kentucky,Hancock,8565,8641
Maine,Hancock,54418,54237
Mississippi,Hancock,43929,46305
Ohio,Hancock,74782,75678
Tennessee,Hancock,6819,6577
West Virginia,Hancock,30676,29980
Tennessee,Hardeman,27253,25817
Texas,Hardeman,4139,3920
Illinois,Hardin,4320,4067
Iowa,Hardin,17534,17253
Kentucky,Hardin,105543,106272
Ohio,Hardin,32058,31616
Tennessee,Hardin,26026,25754
Texas,Hardin,54635,55758
New Mexico,Harding,695,719
South Dakota,Harding,1255,1270
Kentucky,Harlan,29278,27506
Nebraska,Harlan,3423,3441
Kansas,Harper,6034,5781
Oklahoma,Harper,3685,3826
Georgia,Harris,32024,33155
Texas,Harris,4092459,4557846
Indiana,Harrison,39364,39532
Iowa,Harrison,14928,14139
Kentucky,Harrison,18846,18641
Mississippi,Harrison,187105,200674
Missouri,Harrison,8957,8622
Ohio,Harrison,15864,15395
Texas,Harrison,65631,66685
West Virginia,Harrison,69099,68535
Georgia,Hart,25213,25410
Kentucky,Hart,18199,18421
Kansas,Haskell,4256,4089
Oklahoma,Haskell,12769,12750
Texas,Haskell,5899,5821
Hawaii,Hawaii,185079,195975
North Carolina,Haywood,59036,59646
Tennessee,Haywood,18787,18036
Illinois,Henderson,7331,6997
Kentucky,Henderson,46250,46344
North Carolina,Henderson,106740,111847
Tennessee,Henderson,27769,28078
Texas,Henderson,78532,79492
Alabama,Henry,17302,17101
Georgia,Henry,203922,216414
Illinois,Henry,50486,49638
Indiana,Henry,49462,48655
Iowa,Henry,20145,19843
Kentucky,Henry,15416,15563
Missouri,Henry,22272,21725
Ohio,Henry,28215,27481
Tennessee,Henry,32330,32127
Virginia,Henry,54151,51940
Kentucky,Hickman,4902,4612
Tennessee,Hickman,24690,24373
New Mexico,Hidalgo,4894,4436
Texas,Hidalgo,774769,839667
Ohio,Highland,43589,42960
Virginia,Highland,2321,2196
Montana,Hill,16096,16438
Texas,Hill,35089,34828
Florida,Hillsborough,1229226,1364073
New Hampshire,Hillsborough,400721,408985
Florida,Holmes,19927,19273
Mississippi,Holmes,19198,18367
Ohio,Holmes,42366,43882
